Elapsed Time (sec),Day 1 HR (bpm),Day 4 HR (bpm),Average,Error
0,111.0,110.6,110.8,0.3139554108
1,110.9,110.4,110.7,0.3224406922
2,110.8,110.3,110.6,0.3302188668
3,110.7,110.2,110.5,0.3379970414
4,110.6,110.1,110.4,0.345775216
5,110.5,110.0,110.3,0.3535533906
6,110.4,110.1,110.3,0.2043538598
7,110.3,110.2,110.3,0.05515432893
8,110.2,110.3,110.3,0.0940452019
9,110.1,110.4,110.3,0.2432447327
10,110.0,110.6,110.3,0.3931513703
11,109.8,110.7,110.2,0.6484169183
12,109.5,110.8,110.1,0.9036824664
13,109.3,110.9,110.1,1.158948014
14,109.0,111.0,110.0,1.414213562
15,108.0,110.0,109.0,1.414213562
16,107.5,109.7,108.6,1.532300395
17,107.0,109.3,108.2,1.649680121
18,106.0,109.0,107.5,2.121320344
19,105.5,108.0,106.8,1.767766953
20,105.0,107.5,106.3,1.767766953
21,104.8,107.0,105.9,1.590990258
22,104.5,106.0,105.3,1.060660172
23,104.3,105.5,104.9,0.8838834765
24,104.0,105.0,104.5,0.7071067812
25,103.7,104.5,104.1,0.5890199487
26,103.3,104.0,103.7,0.4716402231
27,103.0,103.7,103.3,0.4716402231
28,102.0,103.3,102.7,0.9425733393
29,101.7,103.0,102.3,0.9425733393
30,101.3,102.5,101.9,0.8251936136
31,101.0,102.0,101.5,0.7071067812
32,100.0,101.5,100.8,1.060660172
33,99.5,101.0,100.3,1.060660172
34,99.0,100.5,99.8,1.060660172
35,89.0,100.0,94.5,7.778174593
36,89.0,96.0,92.5,4.949747468
37,88.0,93.0,90.5,3.535533906
38,87.0,89.0,88.0,1.414213562
39,86.0,89.0,87.5,2.121320344
40,85.0,88.8,86.9,2.651650429
41,79.0,88.5,83.8,6.717514421
42,79.0,88.3,83.6,6.540737726
43,77.0,88.0,82.5,7.778174593
44,75.7,87.7,81.7,8.485281374
45,74.3,87.3,80.8,9.192388155
46,73.0,87.0,80.0,9.899494937
47,72.0,86.2,79.1,10.04091629
48,72.2,85.4,78.8,9.318111741
49,72.4,84.6,78.5,8.595307189
50,72.7,83.8,78.2,7.872431927
51,72.9,83.0,77.9,7.149627375
52,73.1,79.0,76.1,4.164081124
53,73.3,81.0,77.2,5.421175559
54,73.6,86.0,79.8,8.799519628
55,73.8,86.0,79.9,8.642400501
56,74.0,82.0,78.0,5.656854249
57,75.0,80.0,77.5,3.535533906
58,74.5,78.0,76.3,2.474873734
59,74.0,77.0,75.5,2.121320344
60,73.0,80.0,76.5,4.949747468
61,73.5,81.0,77.3,5.303300859
62,74.0,83.0,78.5,6.363961031
63,77.0,82.0,79.5,3.535533906
64,76.7,81.7,79.2,3.535533906
65,76.3,81.3,78.8,3.535533906
66,76.0,81.0,78.5,3.535533906
67,73.0,82.0,77.5,6.363961031
68,74.0,83.0,78.5,6.363961031
69,75.0,84.0,79.5,6.363961031
70,76.0,83.0,79.5,4.949747468
71,75.3,83.2,79.3,5.562596916
72,74.7,83.4,79.0,6.175375652
73,74.0,83.6,78.8,6.788225099
74,73.0,83.8,78.4,7.636753237
75,72.0,84.0,78.0,8.485281374
76,71.0,85.5,78.3,10.25304833
77,70.0,87.0,78.5,12.02081528
78,72.0,86.0,79.0,9.899494937
79,71.5,85.0,78.3,9.545941546
80,71.0,85.3,78.1,10.07627163
81,72.0,85.5,78.8,9.545941546
82,72.5,85.8,79.1,9.369164851
83,73.0,86.0,79.5,9.192388155
84,74.0,89.0,81.5,10.60660172
85,75.0,94.0,84.5,13.43502884
86,76.0,97.0,86.5,14.8492424
87,79.0,97.0,88.0,12.72792206
88,79.0,96.0,87.5,12.02081528
89,80.0,95.0,87.5,10.60660172
90,79.7,94.0,86.8,10.13517363
91,79.3,93.0,86.2,9.663816246
92,79.0,92.0,85.5,9.192388155
93,78.0,91.0,84.5,9.192388155
94,79.0,90.0,84.5,7.778174593
95,80.0,89.0,84.5,6.363961031
96,82.0,88.0,85.0,4.242640687
97,81.5,86.0,83.8,3.181980515
98,81.0,88.0,84.5,4.949747468
99,80.0,91.0,85.5,7.778174593
100,80.5,90.0,85.3,6.717514421
101,81.0,88.0,84.5,4.949747468
102,81.5,86.0,83.8,3.181980515
103,82.0,84.0,83.0,1.414213562
104,82.5,85.5,84.0,2.121320344
105,83.0,87.0,85.0,2.828427125
106,82.5,88.0,85.3,3.889087297
107,82.0,87.5,84.8,3.889087297
108,81.0,87.0,84.0,4.242640687
109,81.5,88.0,84.8,4.596194078
110,82.0,91.0,86.5,6.363961031
111,84.0,92.0,88.0,5.656854249
112,85.3,93.0,89.2,5.421175559
113,86.7,91.0,88.8,3.064105815
114,88.0,90.0,89.0,1.414213562
115,87.7,89.0,88.3,0.9427854714
116,87.3,92.0,89.7,3.299855216
117,87.0,93.0,90.0,4.242640687
118,86.8,90.0,88.4,2.298097039
119,86.5,89.0,87.8,1.767766953
120,86.3,87.0,86.6,0.5303300859
